reference,source,sentence_raw,construction,verb,dependency,final_input
Hornby (1975),curated_data,There is no doubt about it.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is no doubt about it.
Hornby (1975),curated_data,There is still time for us to see the film.,3,be,expl verb advmod attr,expl verb advmod attr [SEP] be [SEP] There is still time for us to see the film.
Hornby (1975),curated_data,There has been too much idle gossip.,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] There has been too much idle gossip.
Hornby (1975),curated_data,There is no accounting for tastes.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is no accounting for tastes.
Hornby (1975),curated_data,There was every reason for him to be satisfied.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There was every reason for him to be satisfied.
Hornby (1975),curated_data,There are still many things worth fighting for.,3,be,expl verb advmod attr,expl verb advmod attr [SEP] be [SEP] There are still many things worth fighting for.
Hornby (1975),curated_data,There can be very little doubt about his guilt.,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] There can be very little doubt about his guilt.
Hornby (1975),curated_data,There can't have been much traffic so late at night.,3,be,expl aux neg aux verb attr advmod prep,expl aux neg aux verb attr advmod prep [SEP] be [SEP] There can't have been much traffic so late at night.
Hornby (1975),curated_data,There have been many such incidents.,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] There have been many such incidents.
Hornby (1975),curated_data,There must be a mistake somewhere.,3,be,expl aux verb attr advmod,expl aux verb attr advmod [SEP] be [SEP] There must be a mistake somewhere.
Hornby (1975),curated_data,There is only one man qualified for the job.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is only one man qualified for the job.
Hornby (1975),curated_data,There are three windows in this room,3,be,expl verb attr prep conj,expl verb attr prep conj [SEP] be [SEP] There are three windows in this room
Hornby (1975),curated_data,There was a thunderstorm in the night.,3,be,expl verb attr prep,expl verb attr prep [SEP] be [SEP] There was a thunderstorm in the night.
Hornby (1975),curated_data,There are several hotels in this town.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are several hotels in this town.
Hornby (1975),curated_data,Are there many apples on your trees his year?,3,be,verb expl attr,verb expl attr [SEP] be [SEP] Are there many apples on your trees his year?
Hornby (1975),curated_data,There is a plan of the town on page 23.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a plan of the town on page 23.
Hornby (1975),curated_data,There are some problems here.,3,be,expl verb attr advmod,expl verb attr advmod [SEP] be [SEP] There are some problems here.
Hornby (1975),curated_data,You wouldn't want there to be another war.,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] You wouldn't want there to be another war.
Hornby (1975),curated_data,I don't want there to be any trouble. ,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] I don't want there to be any trouble. 
Hornby (1975),curated_data,I expect there to be no argument about this.,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] I expect there to be no argument about this.
Hornby (1975),curated_data,There may be an opportunity for you to see the manager this afternoon.,3,be,expl aux verb attr,expl aux verb attr [SEP] be [SEP] There may be an opportunity for you to see the manager this afternoon.
Hornby (1975),curated_data,There are three windows in this room,3,be,expl verb attr prep,expl verb attr prep [SEP] be [SEP] There are three windows in this room
Levin (1993),curated_data,There was every reason for him to be satisfied.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There was every reason for him to be satisfied.
Hornby (1975),curated_data,I was led to believe there was no danger.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] I was led to believe there was no danger.
Hornby (1975),curated_data,There are many difficulties to be overcome.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are many difficulties to be overcome.
Larsen-Freeman et al. (2016),curated_data,There is the little boy who looks after the sheep.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is the little boy who looks after the sheep.
Larsen-Freeman et al. (2016),curated_data,"There is the little boy who looks after the sheep, isn't there?",3,be,expl verb attr conj,"expl verb attr conj [SEP] be [SEP] There is the little boy who looks after the sheep, isn't there?"
Larsen-Freeman et al. (2016),curated_data,"There is the little boy who looks after the sheep, isn't there?",3,be,verb neg advmod,"verb neg advmod [SEP] be [SEP] There is the little boy who looks after the sheep, isn't there?"
Larsen-Freeman et al. (2016),curated_data,There isn’t anyone in the building.,3,be,expl verb neg attr,expl verb neg attr [SEP] be [SEP] There isn’t anyone in the building.
Larsen-Freeman et al. (2016),curated_data,There is six of the best.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is six of the best.
Larsen-Freeman et al. (2016),curated_data,There are problems here.,3,be,expl verb attr advmod,expl verb attr advmod [SEP] be [SEP] There are problems here.
Larsen-Freeman et al. (2016),curated_data,There is all sorts of text that one could mention.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is all sorts of text that one could mention.
Larsen-Freeman et al. (2016),curated_data,Cos even in the shadow area you see there is still nice textures shown on the front.,3,be,expl verb advmod attr,expl verb advmod attr [SEP] be [SEP] Cos even in the shadow area you see there is still nice textures shown on the front.
Larsen-Freeman et al. (2016),curated_data,There's too many term papers for this course.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There's too many term papers for this course.
Larsen-Freeman et al. (2016),curated_data,Here is in shadow.,3,be,advmod verb prep,advmod verb prep [SEP] be [SEP] Here is in shadow.
Larsen-Freeman et al. (2016),curated_data,Here is the little boy who looks after the sheep.,3,be,advmod verb nsubj,advmod verb nsubj [SEP] be [SEP] Here is the little boy who looks after the sheep.
Larsen-Freeman et al. (2016),curated_data,There are two boys and a girl in the room.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are two boys and a girl in the room.
Larsen-Freeman et al. (2016),curated_data,There is a girl and two boys in the room.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a girl and two boys in the room.
Larsen-Freeman et al. (2016),curated_data,And there is at least eight discs available at the present time and more could be made available.,3,be,cc expl verb ccomp,cc expl verb ccomp [SEP] be [SEP] And there is at least eight discs available at the present time and more could be made available.
Larsen-Freeman et al. (2016),curated_data,And there is only about three marks for it anyway so.,3,be,cc expl verb attr advmod,cc expl verb attr advmod [SEP] be [SEP] And there is only about three marks for it anyway so.
Larsen-Freeman et al. (2016),curated_data,There exist several alternatives.,3,exist,expl verb dobj,expl verb dobj [SEP] exist [SEP] There exist several alternatives.
Larsen-Freeman et al. (2016),curated_data,"At the edge of the forest, there dwelt a troll.",3,dwelt,prep expl verb dobj,"prep expl verb dobj [SEP] dwelt [SEP] At the edge of the forest, there dwelt a troll."
Larsen-Freeman et al. (2016),curated_data,There arose a conflict.,3,arise,expl verb dobj,expl verb dobj [SEP] arise [SEP] There arose a conflict.
Larsen-Freeman et al. (2016),curated_data,There ensued a dispute.,3,ensue,expl verb dobj,expl verb dobj [SEP] ensue [SEP] There ensued a dispute.
Larsen-Freeman et al. (2016),curated_data,There came three suspicious-looking men down the street.,3,come,expl verb attr prep,expl verb attr prep [SEP] come [SEP] There came three suspicious-looking men down the street.
Larsen-Freeman et al. (2016),curated_data,"Along the river, there walked an old woman.",3,walk,prep expl verb dobj,"prep expl verb dobj [SEP] walk [SEP] Along the river, there walked an old woman."
Larsen-Freeman et al. (2016),curated_data,There is a pen on the table.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a pen on the table.
Larsen-Freeman et al. (2016),curated_data,"This month, there are a lot of holidays.",3,be,npadvmod expl verb attr,"npadvmod expl verb attr [SEP] be [SEP] This month, there are a lot of holidays."
Larsen-Freeman et al. (2016),curated_data,There are a lot of holidays this month.,3,be,expl verb attr npadvmod,expl verb attr npadvmod [SEP] be [SEP] There are a lot of holidays this month.
Larsen-Freeman et al. (2016),curated_data,On the table there is a pen.,3,be,prep expl verb attr,prep expl verb attr [SEP] be [SEP] On the table there is a pen.
Larsen-Freeman et al. (2016),curated_data,In the house there was no sign of life.,3,be,prep expl verb attr,prep expl verb attr [SEP] be [SEP] In the house there was no sign of life.
Larsen-Freeman et al. (2016),curated_data,There are several alternatives.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are several alternatives.
Larsen-Freeman et al. (2016),curated_data,There are seeral books on the table.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are seeral books on the table.
Larsen-Freeman et al. (2016),curated_data,There used to be a tree behind the garage.,3,use,expl verb xcomp,expl verb xcomp [SEP] use [SEP] There used to be a tree behind the garage.
Larsen-Freeman et al. (2016),curated_data,There exist five prime numbers below twelve.,3,exist,expl verb dobj,expl verb dobj [SEP] exist [SEP] There exist five prime numbers below twelve.
Larsen-Freeman et al. (2016),curated_data,There is a Santa Claus.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a Santa Claus.
Larsen-Freeman et al. (2016),curated_data,What is there to see in Tucson?,3,be,attr verb expl advcl,attr verb expl advcl [SEP] be [SEP] What is there to see in Tucson?
Larsen-Freeman et al. (2016),curated_data,"There is the Sonora Deser Museum., Saquaro cactus plants, the Biosphere, a dude ranch…",3,be,expl verb attr advcl attr,"expl verb attr advcl attr [SEP] be [SEP] There is the Sonora Deser Museum., Saquaro cactus plants, the Biosphere, a dude ranch…"
Larsen-Freeman et al. (2016),curated_data,"Well, there's the couch.",3,be,intj expl verb attr,"intj expl verb attr [SEP] be [SEP] Well, there's the couch."
Larsen-Freeman et al. (2016),curated_data,"Before we leave on vacation, there remains the problem of what to do with the dog.",3,remain,advcl expl verb attr,"advcl expl verb attr [SEP] remain [SEP] Before we leave on vacation, there remains the problem of what to do with the dog."
Larsen-Freeman et al. (2016),curated_data,"Well, there is that.",3,be,intj expl verb attr,"intj expl verb attr [SEP] be [SEP] Well, there is that."
Larsen-Freeman et al. (2016),curated_data,There once lived an old woodsman in a little cottage deep in the woods.,3,live,expl advmod verb dobj prep,expl advmod verb dobj prep [SEP] live [SEP] There once lived an old woodsman in a little cottage deep in the woods.
Larsen-Freeman et al. (2016),curated_data,"Suddenly, there burst onto the scene an out-of-town volunteer fire department.",3,burst,advmod expl verb prep dobj,"advmod expl verb prep dobj [SEP] burst [SEP] Suddenly, there burst onto the scene an out-of-town volunteer fire department."
Larsen-Freeman et al. (2016),curated_data,There is the most unusual man standing over there.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is the most unusual man standing over there.
Larsen-Freeman et al. (2016),curated_data,There will soon appear the definitive edition of Hamlet.,3,appear,expl aux advmod verb dobj,expl aux advmod verb dobj [SEP] appear [SEP] There will soon appear the definitive edition of Hamlet.
Larsen-Freeman et al. (2016),curated_data,There never was that problem in Austin.,3,be,advmod nsubj verb attr,advmod nsubj verb attr [SEP] be [SEP] There never was that problem in Austin.
Larsen-Freeman et al. (2016),curated_data,There is a big fountain in the center of the plaza.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a big fountain in the center of the plaza.
Larsen-Freeman et al. (2016),curated_data,There are skyscrappers.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are skyscrappers.
Larsen-Freeman et al. (2016),curated_data,There is a bridge.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a bridge.
Larsen-Freeman et al. (2016),curated_data,There is a building next to the water.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a building next to the water.
Larsen-Freeman et al. (2016),curated_data,There are five Capricorns in the class.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are five Capricorns in the class.
Larsen-Freeman et al. (2016),curated_data,There is one Libra.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is one Libra.
Larsen-Freeman et al. (2016),curated_data,There is a book on the table.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a book on the table.
Larsen-Freeman et al. (2016),curated_data,There was a ball in the street.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There was a ball in the street.
Larsen-Freeman et al. (2016),curated_data,There is usually a lot of empty rooms on the weekend.,3,be,expl verb advmod attr prep,expl verb advmod attr prep [SEP] be [SEP] There is usually a lot of empty rooms on the weekend.
Larsen-Freeman et al. (2016),curated_data,There is a Japanese excutive in the waiting room,3,be,expl verb attr ccomp,expl verb attr ccomp [SEP] be [SEP] There is a Japanese excutive in the waiting room
Larsen-Freeman et al. (2016),curated_data,"There is a bread,",3,be,expl verb attr,"expl verb attr [SEP] be [SEP] There is a bread,"
Goldberg (1995),curated_data,Sharon was exactly the sort of person,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] Sharon was exactly the sort of person
Goldberg (1995),curated_data,and she was so happy ,0,be,cc nsubj verb acomp,cc nsubj verb acomp [SEP] be [SEP] and she was so happy 
Goldberg (1995),curated_data,All he got from her was a goodbye wave.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] All he got from her was a goodbye wave.
Goldberg & Jackendoff (2004),curated_data,and we were all overjoyed,0,be,cc nsubj verb acomp,cc nsubj verb acomp [SEP] be [SEP] and we were all overjoyed
Goldberg & Jackendoff (2004),curated_data,That the girls might be unaware of the camera,0,be,mark nsubj aux verb acomp,mark nsubj aux verb acomp [SEP] be [SEP] That the girls might be unaware of the camera
Levin (1993),curated_data,The men were able to mine more gold.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] The men were able to mine more gold.
Levin (1993),curated_data,A flowering plant is on the windowsill.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] A flowering plant is on the windowsill.
Levin (1993),curated_data,On the windowsill is a flowering plant.,0,be,prep verb attr,prep verb attr [SEP] be [SEP] On the windowsill is a flowering plant.
Levin (1993),curated_data,the road is clear of debris.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] the road is clear of debris.
Levin (1993),curated_data,The clown was amusing to the children.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] The clown was amusing to the children.
Hornby (1975),curated_data,Be quiet!,0,be,verb acomp,verb acomp [SEP] be [SEP] Be quiet!
Hornby (1975),curated_data,Be patient!,0,be,verb acomp,verb acomp [SEP] be [SEP] Be patient!
Hornby (1975),curated_data,Why don't you be more reasonable?,0,be,advmod aux neg nsubj verb acomp advcl,advmod aux neg nsubj verb acomp advcl [SEP] be [SEP] Why don't you be more reasonable?
Hornby (1975),curated_data,Don’t be so curious!,0,be,aux neg verb acomp,aux neg verb acomp [SEP] be [SEP] Don’t be so curious!
Hornby (1975),curated_data,Don’t be so foolish!,0,be,aux neg verb acomp,aux neg verb acomp [SEP] be [SEP] Don’t be so foolish!
Hornby (1975),curated_data,Why don't you be a man?,0,be,advmod aux neg nsubj verb attr,advmod aux neg nsubj verb attr [SEP] be [SEP] Why don't you be a man?
Hornby (1975),curated_data,He's busy.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] He's busy.
Hornby (1975),curated_data,He isn't busy.,0,be,nsubj verb neg acomp,nsubj verb neg acomp [SEP] be [SEP] He isn't busy.
Hornby (1975),curated_data,This is a book.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] This is a book.
Hornby (1975),curated_data,His father is a lawyer.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] His father is a lawyer.
Hornby (1975),curated_data,The total was senvety-three.,0,be,nsubj verb attr ccomp,nsubj verb attr ccomp [SEP] be [SEP] The total was senvety-three.
Hornby (1975),curated_data,The boys were about the same height.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] The boys were about the same height.
Hornby (1975),curated_data,Parts of my house are 15th century.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] Parts of my house are 15th century.
Hornby (1975),curated_data,It is me.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It is me.
Hornby (1975),curated_data,That's mine.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] That's mine.
Hornby (1975),curated_data,Whether he will agree is another question.,0,be,csubj verb attr,csubj verb attr [SEP] be [SEP] Whether he will agree is another question.
Hornby (1975),curated_data,Who is that?,0,be,attr verb nsubj,attr verb nsubj [SEP] be [SEP] Who is that?
Hornby (1975),curated_data,What color is her hair?,0,be,attr verb attr,attr verb attr [SEP] be [SEP] What color is her hair?
Hornby (1975),curated_data,What age is she?,0,be,attr verb nsubj,attr verb nsubj [SEP] be [SEP] What age is she?
Hornby (1975),curated_data,What are cabbages today?,0,be,attr verb acomp npadvmod,attr verb acomp npadvmod [SEP] be [SEP] What are cabbages today?
Hornby (1975),curated_data,It was dark.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] It was dark.
Hornby (1975),curated_data,We're ready.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] We're ready.
Hornby (1975),curated_data,The statue will be life-size.,0,be,nsubj aux verb attr,nsubj aux verb attr [SEP] be [SEP] The statue will be life-size.
Hornby (1975),curated_data,Mary is charming.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] Mary is charming.
Hornby (1975),curated_data,That he will refuse is most unlikely.,0,be,csubj verb acomp,csubj verb acomp [SEP] be [SEP] That he will refuse is most unlikely.
Hornby (1975),curated_data,Don't be afraid. ,0,be,aux neg verb acomp,aux neg verb acomp [SEP] be [SEP] Don't be afraid. 
Hornby (1975),curated_data,The childern are asleep.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] The childern are asleep.
Hornby (1975),curated_data,Is he still alive?,0,be,verb nsubj advmod acomp,verb nsubj advmod acomp [SEP] be [SEP] Is he still alive?
Hornby (1975),curated_data,I was not aware of that.,0,be,nsubj verb neg acomp,nsubj verb neg acomp [SEP] be [SEP] I was not aware of that.
Hornby (1975),curated_data,The ship is still afloat.,0,be,nsubj verb advmod acomp,nsubj verb advmod acomp [SEP] be [SEP] The ship is still afloat.
Hornby (1975),curated_data,She's in good health.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] She's in good health.
Hornby (1975),curated_data,She's well.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] She's well.
Hornby (1975),curated_data,Your memory is at fault.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] Your memory is at fault.
Hornby (1975),curated_data,Your memory is faulty.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] Your memory is faulty.
Hornby (1975),curated_data,We were all out of breath.,0,be,nsubj verb dep prep,nsubj verb dep prep [SEP] be [SEP] We were all out of breath.
Hornby (1975),curated_data,We were all breathless.,0,be,nsubj verb advmod acomp,nsubj verb advmod acomp [SEP] be [SEP] We were all breathless.
Hornby (1975),curated_data,At last he was at liberty.,0,be,prep nsubj verb prep,prep nsubj verb prep [SEP] be [SEP] At last he was at liberty.
Hornby (1975),curated_data,At last he was free.,0,be,prep nsubj verb acomp,prep nsubj verb acomp [SEP] be [SEP] At last he was free.
Hornby (1975),curated_data,This poem is beyond me.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] This poem is beyond me.
Hornby (1975),curated_data,This poem is too difficult.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] This poem is too difficult.
Hornby (1975),curated_data,We are not yet out of danger.,0,be,nsubj verb neg advmod prep,nsubj verb neg advmod prep [SEP] be [SEP] We are not yet out of danger.
Hornby (1975),curated_data,We are not yet safe.,0,be,nsubj verb neg advmod acomp,nsubj verb neg advmod acomp [SEP] be [SEP] We are not yet safe.
Hornby (1975),curated_data,The question is of no importance.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] The question is of no importance.
Hornby (1975),curated_data,The question is unimportant.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] The question is unimportant.
Hornby (1975),curated_data,Everything is in good order.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] Everything is in good order.
Hornby (1975),curated_data,The machine is out of order.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] The machine is out of order.
Hornby (1975),curated_data,This letter is for you.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] This letter is for you.
Hornby (1975),curated_data,Your friend is here.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] Your friend is here.
Hornby (1975),curated_data,The book you are looking for is here.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] The book you are looking for is here.
Hornby (1975),curated_data,The others are there.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] The others are there.
Hornby (1975),curated_data,It is there.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] It is there.
Hornby (1975),curated_data,The train is in.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] The train is in.
Hornby (1975),curated_data,The concert was over.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] The concert was over.
Hornby (1975),curated_data,The whole scheme is off.,0,be,nsubj verb advmod,nsubj verb advmod [SEP] be [SEP] The whole scheme is off.
Hornby (1975),curated_data,My house is near the station.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] My house is near the station.
Hornby (1975),curated_data,Everything between them was at an end.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] Everything between them was at an end.
Hornby (1975),curated_data,A plan of the town is on page 23.,0,be,nsubj verb prep,nsubj verb prep [SEP] be [SEP] A plan of the town is on page 23.
Hornby (1975),curated_data,Was anyone up?,0,be,verb nsubj advmod,verb nsubj advmod [SEP] be [SEP] Was anyone up?
Hornby (1975),curated_data,It is so nice to sit here with you.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] It is so nice to sit here with you.
Hornby (1975),curated_data,It would have been much wiser to reduce speed.,0,be,nsubj aux aux verb acomp advcl,nsubj aux aux verb acomp advcl [SEP] be [SEP] It would have been much wiser to reduce speed.
Hornby (1975),curated_data,It is a pity to waste them.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It is a pity to waste them.
Hornby (1975),curated_data,It would be a mistake to ignore their advice.,0,be,nsubj aux verb attr,nsubj aux verb attr [SEP] be [SEP] It would be a mistake to ignore their advice.
Hornby (1975),curated_data,It is such a relief to hear you laughing again.,0,be,nsubj verb attr advcl,nsubj verb attr advcl [SEP] be [SEP] It is such a relief to hear you laughing again.
Hornby (1975),curated_data,It was a pleasant surprise to be told that I'd been promoted.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It was a pleasant surprise to be told that I'd been promoted.
Hornby (1975),curated_data,It is no exaggeration to say that no actor has surpassed him in the part of Othello.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It is no exaggeration to say that no actor has surpassed him in the part of Othello.
Hornby (1975),curated_data,It is so nice sitting here with you.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It is so nice sitting here with you.
Hornby (1975),curated_data,It is no good hoping for help from the authorities.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It is no good hoping for help from the authorities.
Hornby (1975),curated_data,It won’t be much good complaining to them.,0,be,nsubj aux neg verb acomp,nsubj aux neg verb acomp [SEP] be [SEP] It won’t be much good complaining to them.
Hornby (1975),curated_data,It wouldn't be any good my talking to them.,0,be,nsubj aux neg verb attr advcl,nsubj aux neg verb attr advcl [SEP] be [SEP] It wouldn't be any good my talking to them.
Hornby (1975),curated_data,It is no good crying over split milk.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] It is no good crying over split milk.
Hornby (1975),curated_data,It was a difficult business getting everything ready in time.,0,be,nsubj verb attr,nsubj verb attr [SEP] be [SEP] It was a difficult business getting everything ready in time.
Hornby (1975),curated_data,It is wonderful lying on the beach all day.,0,be,nsubj verb acomp npadvmod,nsubj verb acomp npadvmod [SEP] be [SEP] It is wonderful lying on the beach all day.
Hornby (1975),curated_data,It is not worthwhile losing your temper.,0,be,nsubj verb neg acomp,nsubj verb neg acomp [SEP] be [SEP] It is not worthwhile losing your temper.
Hornby (1975),curated_data,It was really worthwhile running that youth club last year.,0,be,nsubj verb acomp,nsubj verb acomp [SEP] be [SEP] It was really worthwhile running that youth club last year.
Hornby (1975),curated_data,It isn't much fun being a lighthouse keeper.,0,be,nsubj verb neg acomp,nsubj verb neg acomp [SEP] be [SEP] It isn't much fun being a lighthouse keeper.
Hornby (1975),curated_data,It wouldn't be any good for my to talk to him.,0,be,nsubj aux neg verb attr advcl,nsubj aux neg verb attr advcl [SEP] be [SEP] It wouldn't be any good for my to talk to him.
Hornby (1975),curated_data,It wasn't much use for me to pretend that I didn't know the rules.,0,be,nsubj verb neg attr,nsubj verb neg attr [SEP] be [SEP] It wasn't much use for me to pretend that I didn't know the rules.
Hornby (1975),curated_data,The trouble is that all the shops are shut.,0,be,nsubj verb ccomp,nsubj verb ccomp [SEP] be [SEP] The trouble is that all the shops are shut.
